t_index,tf-idf
189,0.007
190,0.008
222,0.01
306,0.013
306,0.013
337,0.004
337,0.004
349,0.015
383,0.004
448,0.007
448,0.007
470,0.007
539,0.009
539,0.009
568,0.005
579,0.004
1035,0.017
1035,0.017
1085,0.016
1172,0.009
1172,0.009
1191,0.011
1361,0.013
1361,0.013
1401,0.005
1498,0.012
1562,0.01
1562,0.01
1569,0.009
1685,0.005
1961,0.009
2027,0.008
2035,0.006
2080,0.008
2153,0.005
2311,0.01
2439,0.008
2629,0.005
2641,0.004
2718,0.01
2773,0.01
2836,0.007
2880,0.004
2889,0.015
2889,0.015
2942,0.007
3261,0.006
3436,0.007
3493,0.026
3493,0.026
3493,0.026
3569,0.003
3596,0.012
3727,0.018
3727,0.018
3742,0.004
3782,0.006
3895,0.004
3895,0.004
4077,0.004
4145,0.016
4145,0.016
4145,0.016
4145,0.016
4352,0.009
4398,0.015
4425,0.003
4566,0.025
4566,0.025
4566,0.025
4762,0.013
4762,0.013
4798,0.003
4875,0.011
4875,0.011
4908,0.006
4908,0.006
4912,0.01
4968,0.003
4972,0.003
5112,0.005
5215,0.021
5215,0.021
5215,0.021
5216,0.008
5668,0.01
5809,0.01
5809,0.01
6036,0.005
6176,0.004
6345,0.029
6345,0.029
6345,0.029
6345,0.029
6506,0.011
6627,0.004
6663,0.013
6730,0.005
6974,0.008
7018,0.044
7018,0.044
7018,0.044
7214,0.002
7434,0.002
7457,0.004
7485,0.001
7499,0.003
7898,0.012
7898,0.012
7898,0.012
7898,0.012
7898,0.012
7898,0.012
8198,0.003
8429,0.011
8429,0.011
8478,0.019
8478,0.019
8478,0.019
8584,0.015
8604,0.008
8653,0.005
8721,0.011
8721,0.011
8813,0.006
8887,0.002
8906,0.011
8906,0.011
8914,0.006
9189,0.021
9189,0.021
9189,0.021
9229,0.007
9278,0.008
9278,0.008
9278,0.008
9278,0.008
9278,0.008
9278,0.008
9278,0.008
9278,0.008
9372,0.004
9377,0.007
9531,0.012
9732,0.008
9774,0.016
9842,0.028
9842,0.028
9903,0.008
10019,0.024
10019,0.024
10019,0.024
10019,0.024
10249,0.005
10255,0.003
10255,0.003
10497,0.007
10534,0.013
10534,0.013
10534,0.013
10789,0.011
10922,0.012
10922,0.012
10922,0.012
10922,0.012
11018,0.006
11079,0.006
11123,0.007
11146,0.019
11146,0.019
11253,0.002
11429,0.003
11786,0.008
12075,0.029
12075,0.029
12188,0.002
