t_index,term,df
1093,bizarr,10
1094,bjorn,1
1095,black,58
1096,blacken,4
1097,blackmail,5
1098,blackout,4
1099,blade,1
1100,blair,15
1101,blakemor,1
1102,blame,56
1103,blanchard,1
1104,blanco,7
1105,bland,1
1106,blanda,1
1107,blank,3
1108,blanket,35
1109,blankli,2
1110,blare,1
1111,blast,109
1112,blatant,2
1113,blaze,6
1114,bleach,1
1115,bleacher,1
1116,bleak,1
1117,bled,1
1118,bleed,2
1119,blemish,1
1120,blend,4
1121,bless,9
1122,blew,42
1123,blind,8
1124,blindli,5
1125,blink,3
1126,blister,2
1127,blitz,1
1128,blitzer,1
1129,blizzard,5
1130,bloat,4
1131,bloc,7
1132,block,83
1133,blockad,15
1134,blocker,1
1135,blocki,1
1136,blokosso,1
1137,blond,6
1138,blood,34
1139,bloodbath,2
1140,bloodi,8
1141,bloodiest,1
1142,bloodless,2
1143,bloodsh,9
1144,bloodstain,1
1145,bloomberg,1
1146,bloomer,1
1147,blous,1
1148,blow,25
1149,blown,11
1150,blowtorch,1
1151,blue,46
1152,blueprint,11
1153,bluf,5
1154,blunk,1
1155,blunt,2
1156,bluntli,2
1157,blur,2
1158,blurb,1
1159,blusteri,1
1160,blvd,1
1161,bnaibrith,1
1162,board,63
1163,boarder,5
1164,boardwalk,1
1165,boast,3
1166,boat,117
1167,boater,1
1168,boatmen,1
1169,bob,24
1170,bobbi,6
1171,bobic,1
1172,bodi,188
1173,bodien,1
1174,bodin,9
1175,bodon,1
1176,bodyguard,10
1177,boe,2
1178,bog,2
1179,boga,1
1180,bogg,1
1181,bogu,4
1182,bohdan,2
1183,boigni,6
1184,boil,1
1185,boister,1
1186,bojic,1
1187,bold,3
1188,boldli,1
1189,bolivia,1
1190,bolona,2
1191,bolster,12
1192,bolt,1
1193,bomb,259
1194,bombard,2
1195,bombay,5
1196,bomber,57
1197,bombet,2
1198,bombey,1
1199,bombmak,4
1200,bombshel,1
1201,bond,17
1202,bondjump,1
1203,bone,53
1204,bonecardi,1
1205,bonfir,3
1206,bonilla,1
1207,bonni,1
1208,bono,1
1209,bonu,1
1210,boo,3
1211,boobi,3
1212,book,26
1213,bookend,1
1214,boom,7
1215,boost,14
1216,booster,1
1217,boot,5
1218,booth,8
1219,bor,1
1220,border,53
1221,bore,3
1222,borg,1
1223,bori,7
1224,borisav,1
1225,borislav,3
1226,borisov,1
1227,borivoj,1
1228,bork,1
1229,borka,1
1230,born,47
1231,borneo,4
1232,borotra,1
1233,borrow,2
1234,borzon,1
1235,bosnia,16
1236,bosnian,5
1237,boss,10
1238,boston,18
1239,botch,5
1240,bother,9
1241,bottl,5
1242,bottom,28
1243,bouak,1
1244,boucher,8
1245,bouffard,1
1246,bought,10
1247,boulevard,1
1248,bounc,7
1249,bound,15
1250,boundari,2
1251,bounti,1
1252,bout,2
1253,bow,11
1254,bowel,2
1255,bowen,2
1256,bowl,1
1257,bowman,1
1258,bowmen,1
1259,bowrey,1
1260,box,17
1261,boxer,1
1262,boy,35
1263,boycot,26
1264,boycott,18
1265,boyd,1
