t_index,term,df
406,anchor,8
407,anchorag,2
408,anchorman,3
409,ancient,4
410,andean,6
411,anderson,4
412,andi,5
413,andjelkov,1
414,andoslavia,1
415,andr,48
416,andrea,14
417,andrei,2
418,andrew,15
419,andrik,1
420,anew,7
421,angel,13
422,anger,46
423,angl,12
424,anglican,1
425,angri,27
426,angrili,4
427,anguish,8
428,anim,2
429,animist,2
430,animos,11
431,anjana,1
432,anjar,6
433,anjay,1
434,ank,2
435,ankl,9
436,ann,11
437,anna,21
438,annabel,1
439,annacon,1
440,annan,13
441,anniversari,15
442,announc,164
443,annoy,2
444,annual,18
445,annul,11
446,anomali,1
447,anonym,63
448,anoth,263
449,answer,51
450,antagon,1
451,antasiaovich,1
452,antenna,2
453,anthem,6
454,anthoni,27
455,anthropologist,2
456,anti,85
457,antiballist,1
458,antibiot,5
459,anticip,17
460,anticlimact,1
461,antonia,6
462,antonin,1
463,antonio,26
464,anwar,4
465,anxieti,3
466,anxiou,11
467,anxious,2
468,anybodi,14
469,anymor,9
470,anyon,58
471,anyth,94
472,anytim,4
473,anyway,13
474,anywher,18
475,aon,1
476,ap,20
477,apart,69
478,ape,1
479,apec,4
480,apex,1
481,apolit,1
482,apolog,18
483,appal,1
484,appallingli,1
485,appar,193
486,apparatu,7
487,appeal,95
488,appear,196
489,appel,1
490,appetit,2
491,appl,3
492,applaud,10
493,applaus,8
494,appleton,2
495,appli,18
496,applic,16
497,appoint,68
498,appointe,3
499,apprais,2
500,appreci,16
501,apprehend,4
502,apprehens,2
503,apprentic,3
504,appris,1
505,approach,49
506,appropri,18
507,approv,25
508,approxim,12
509,april,67
510,aprista,4
511,apron,1
512,aquil,2
513,arab,61
514,arabi,1
515,arabia,71
516,arabian,44
517,arafat,16
518,arantxa,3
519,arazi,7
520,arbadi,1
521,arbit,1
522,arbitrari,2
523,arbitrarili,1
524,arc,1
525,arch,2
526,archaeolog,2
527,archbishop,4
528,archer,1
529,archeri,4
530,archetyp,1
531,archi,5
532,archibald,1
533,architect,7
534,architectur,4
535,arctic,6
536,ardent,4
537,arduou,1
538,are,2
539,area,186
540,arena,22
541,aretz,1
542,argentin,1
543,argentina,10
544,argu,45
545,arguabl,2
546,argument,18
547,ari,1
548,arid,5
549,arif,1
550,arisen,1
551,arithmet,1
552,aritomi,4
553,ariz,8
554,arizona,7
555,ark,8
556,arkadelphia,1
557,arkan,1
558,arkansa,28
559,arkin,2
560,arleigh,3
561,arlen,2
562,arlington,8
563,arm,133
564,armament,2
565,armbrist,1
566,armenia,2
567,armey,1
568,armi,136
569,armitag,1
570,armor,17
571,armori,3
572,arn,3
573,arnaud,17
574,arni,1
575,arno,1
576,arnold,3
577,arnot,1
578,aros,5
579,around,191
580,arous,1
581,arraign,2
582,arrang,38
583,array,6
584,arrear,1
585,arrest,109
586,arriv,180
587,arrog,3
588,arrow,4
589,arsen,10
590,arseni,1
591,arsonist,1
592,art,11
593,arthriti,1
594,arthur,4
595,articl,5
596,articul,1
597,artifact,1
598,artifici,4
599,artist,4
600,artudo,1
601,arturo,6
602,aruba,2
603,aryapov,1
604,asa,1
605,asahi,1
606,ascend,1
607,ascrib,4
608,asean,1
609,ash,5
610,asham,1
611,ashcroft,56
612,ashkroft,1
613,ashok,1
614,ashor,2
615,ashraf,1
616,ashtray,1
617,asia,32
618,asian,15
619,asid,30
620,ask,196
621,aspect,11
622,aspir,2
623,assad,1
624,assail,4
625,assam,6
626,assassin,21
627,assault,28
628,assembl,19
629,assert,17
630,assess,48
631,asset,10
632,assign,24
633,assist,76
634,associ,119
635,assort,1
636,assum,38
637,assumpt,7
638,assur,35
639,assuredli,2
640,astakhov,12
641,asterisk,2
642,astonish,7
643,astound,2
644,astronom,1
645,astut,1
646,asylum,29
647,asymmetr,2
648,atal,13
649,atck,2
650,ate,4
651,atf,2
652,atfein,1
653,ath,1
654,athal,1
655,athlet,3
656,atlant,15
657,atlanta,6
658,atmat,1
659,atmospher,10
660,atom,4
661,atop,13
662,atp,3
663,atroc,10
664,atrophi,1
665,attach,15
666,attack,306
667,attain,1
668,attar,1
669,attempt,112
670,attend,68
671,attent,64
672,attest,2
673,attitud,10
674,attorney,58
675,attract,15
676,attribut,12
677,attrit,1
678,atwan,1
679,aubrey,19
680,aubri,5
681,audienc,16
682,audio,4
683,audiotap,1
684,auditor,5
685,auditorium,1
686,aug,33
687,augment,1
688,august,32
689,aunt,2
690,aur,5
691,aura,1
692,aurora,4
693,ausi,1
694,aussi,9
695,auster,2
696,austin,18
697,australia,23
698,australian,72
699,austria,3
700,austrian,1
701,austro,1
702,authent,2
703,author,255
704,authoritarian,27
705,auto,1
706,autocrat,27
707,autograph,1
708,autom,1
709,automat,18
710,automobil,4
711,autonom,1
712,autonomi,3
713,autopilot,1
714,autopsi,1
715,autumn,2
716,avail,44
717,avala,1
718,avalanch,1
719,aveng,7
720,avent,1
721,avenu,4
722,averag,14
723,avert,6
724,aviat,3
725,aviv,4
726,avner,2
727,avoid,59
728,avow,1
729,aw,10
730,awad,2
731,await,27
732,awaken,2
733,awar,18
734,award,9
735,away,167
736,awe,4
737,aweigh,1
738,awkward,4
739,awn,4
740,awok,1
741,axam,1
742,axe,1
743,ay,2
744,ayatollah,1
745,aykroyd,1
746,ayman,5
747,aynaoui,1
748,ayr,1
749,ayyam,2
750,az,1
751,aziz,1
752,azul,1
753,azulay,2
754,ba,2
755,babenko,2
756,babi,14
757,babkin,6
758,baboa,1
759,back,380
760,backa,1
761,backbo,1
762,backcourt,1
763,backdrop,4
764,backer,14
765,backfir,5
766,background,4
767,backhand,14
768,backho,1
769,backlash,3
770,backstop,2
771,backup,2
772,backward,3
773,backyard,1
774,bacon,18
775,bad,39
776,badawi,1
777,badg,3
778,badli,39
779,badrasen,5
780,baffl,2
781,bag,14
782,bagad,1
783,baggag,1
784,baghbel,1
785,baghdad,2
786,bahg,5
787,bahrain,35
788,bai,1
789,baijubahi,2
790,bail,4
791,bailey,6
792,baird,1
793,bairnt,1
794,bait,1
795,bakarec,3
796,bake,2
797,baken,1
798,baker,5
799,bakhshish,1
800,bakri,5
801,balanc,21
802,balawat,1
803,balcacer,2
804,balconi,11
805,bald,1
806,balint,1
807,balk,4
808,balkan,25
809,ball,30
810,ballard,1
811,ballast,2
812,ballena,1
813,ballist,2
814,ballo,1
815,balloon,3
816,ballot,72
817,ballroom,2
818,balonia,1
819,balsamo,1
820,baltimor,3
821,baltin,1
822,bamba,3
823,bambi,1
824,bamboo,4
825,bament,1
826,ban,24
827,banco,1
828,band,11
829,bandag,8
830,bandanna,3
831,bandit,1
832,bang,7
833,bangalor,1
834,bangaru,3
835,bangladesh,5
836,bank,69
837,banker,10
838,bankrupt,5
839,bankruptci,4
840,banner,9
841,bannon,1
842,banquet,1
843,baptist,6
844,bar,54
845,barak,9
846,barb,4
847,barbar,2
848,barbara,24
849,barber,1
850,barbershop,1
851,barcelona,1
852,bare,46
853,barefacedli,1
854,barent,36
855,barg,3
856,bargain,9
857,bari,1
858,bark,1
859,barkina,2
860,barkolla,1
861,barkova,3
862,barna,4
863,barney,1
864,barnstorm,1
865,barot,1
866,barov,1
867,barr,2
868,barrack,35
869,barrag,2
870,barrel,2
871,barrera,2
872,barri,1
873,barricad,18
874,barrier,12
875,bartlett,1
876,barua,5
877,base,188
878,basebal,5
879,baselin,16
880,basement,1
881,basher,1
882,bashraheel,1
883,bashrahel,1
884,basi,15
885,basic,43
886,basilica,1
887,bask,2
888,basket,3
889,basketbal,1
890,basset,1
891,bassiouni,1
892,bastion,6
893,batch,1
894,bath,4
895,bathroom,3
896,bathtub,1
897,batic,2
898,baton,4
899,battalion,3
900,batten,1
901,batter,8
902,batteri,2
903,battl,78
904,battlefield,4
905,battleground,8
906,bauman,6
907,bautista,1
908,bavaria,1
909,bay,7
910,bazaar,1
911,bbc,29
912,be,1
913,beach,17
914,beachfront,1
915,bead,1
916,beal,1
917,beam,14
918,bean,3
919,bear,23
920,beard,20
921,bearer,2
922,beat,79
923,beaten,31
924,beater,3
925,beaumont,1
926,beauti,6
927,beaver,1
928,becam,104
929,becausec,1
930,beci,2
931,becker,1
932,becom,115
933,bed,35
934,bedanova,2
935,bedi,12
936,bedouin,1
937,bedroom,6
938,bedsheet,1
939,beef,6
940,beer,2
941,befit,1
942,befriend,1
943,befuddl,1
944,beg,4
945,began,156
946,beggar,1
947,begin,151
948,begun,31
949,behalf,8
950,behan,1
951,behari,3
952,behav,9
953,behavior,11
954,behind,155
955,beholden,3
956,beij,3
957,beirut,9
958,bekki,3
959,belaru,1
960,belch,1
961,beleagu,3
962,belgian,5
963,belgium,6
964,belgrad,100
965,beli,1
966,belida,3
967,belief,17
968,believ,292
969,belittl,1
970,bell,4
971,belliger,1
972,belong,31
973,belov,5
974,belt,8
975,bema,2
976,bemoan,1
977,ben,5
978,bench,4
979,benchmark,1
980,bend,2
981,beneath,31
982,benefactor,2
983,benefici,1
984,beneficiari,1
985,benefit,17
986,benevol,7
987,benign,1
988,benin,8
989,benito,1
990,benjamin,2
991,bennett,1
992,benni,1
993,bent,13
994,benton,1
995,bequeath,1
996,berat,1
997,bere,1
998,beresich,1
999,beretta,1
1000,bergen,1
1001,berger,25
1002,berlin,8
1003,bernstein,2
1004,bershard,1
1005,bershevski,1
1006,berth,2
1007,beschloss,1
1008,beset,2
1009,besid,27
1010,besieg,4
1011,bespectacl,2
1012,best,101
1013,bet,1
1014,beta,8
1015,beth,1
1016,betray,4
1017,betrisia,1
1018,better,119
1019,bevan,1
1020,beveneari,1
1021,bewild,1
1022,beyond,37
1023,bhaba,2
1024,bhachau,4
1025,bhagat,1
1026,bhakta,1
1027,bharatiya,3
1028,bharpi,3
1029,bhaskar,5
1030,bhat,1
1031,bhatt,1
1032,bhavesh,1
1033,bhowmik,1
1034,bhug,1
1035,bhuj,33
1036,bia,1
1037,biafran,2
1038,biarritz,3
1039,bias,8
1040,bibl,4
1041,biblic,1
1042,bicker,3
1043,bicycl,5
1044,bid,50
1045,bidanora,1
1046,big,76
1047,bigger,8
1048,biggest,39
1049,bigot,1
1050,bihari,10
1051,bilater,8
1052,bilingu,1
1053,bill,68
1054,billboard,2
1055,billet,1
1056,billi,4
1057,billion,59
1058,billionair,9
1059,billow,13
1060,biltera,1
1061,bimal,2
1062,bin,87
1063,bind,5
1064,bindra,3
1065,bingaman,2
1066,bingo,1
1067,binocular,5
1068,bio,1
1069,biogeneticist,1
1070,biograph,3
1071,biographi,4
1072,biolog,4
1073,bion,1
1074,bipartisan,2
1075,bipartisanship,1
1076,bird,3
1077,birger,1
1078,birth,9
1079,birthday,6
1080,birthmark,1
1081,birthplac,1
1082,biscuit,3
1083,bishop,2
1084,bit,46
1085,bite,2
1086,biter,1
1087,bitka,1
1088,bitten,1
1089,bitter,20
1090,bitterli,10
1091,bittersweet,2
1092,biw,1
