t_index,tf-idf
25,0.004
74,0.003
103,0.004
104,0.004
206,0.003
367,0.002
444,0.007
634,0.004
674,0.005
729,0.015
729,0.015
734,0.008
884,0.007
1128,0.011
1169,0.006
1181,0.009
1451,0.017
1451,0.017
1453,0.004
1456,0.004
1619,0.003
1685,0.003
1713,0.01
1713,0.01
1739,0.007
1746,0.003
1751,0.02
1751,0.02
1923,0.006
1945,0.018
1945,0.018
1945,0.018
1945,0.018
1945,0.018
1945,0.018
1945,0.018
1945,0.018
1982,0.005
2029,0.011
2082,0.004
2086,0.004
2096,0.004
2099,0.006
2147,0.005
2158,0.005
2163,0.005
2180,0.007
2180,0.007
2181,0.016
2181,0.016
2181,0.016
2182,0.005
2188,0.004
2213,0.003
2255,0.006
2260,0.005
2284,0.004
2449,0.007
2449,0.007
2571,0.007
2742,0.008
2742,0.008
2742,0.008
2756,0.007
2766,0.003
2934,0.008
3097,0.006
3181,0.005
3343,0.006
3343,0.006
3343,0.006
3422,0.002
3452,0.003
3561,0.008
3594,0.005
3702,0.007
3702,0.007
3791,0.007
3791,0.007
3857,0.005
3867,0.009
3867,0.009
3895,0.001
4057,0.004
4057,0.004
4110,0.004
4145,0.008
4145,0.008
4145,0.008
4170,0.013
4170,0.013
4170,0.013
4175,0.011
4175,0.011
4271,0.004
4313,0.004
4330,0.002
4338,0.007
4405,0.003
4425,0.004
4425,0.004
4427,0.013
4427,0.013
4427,0.013
4459,0.005
4478,0.007
4483,0.007
4662,0.006
4762,0.008
4762,0.008
4873,0.004
4908,0.002
4968,0.002
4972,0.004
4972,0.004
5159,0.009
5208,0.008
5219,0.005
5294,0.006
5366,0.007
5366,0.007
5390,0.002
5491,0.005
5664,0.004
5809,0.003
5893,0.006
5921,0.009
5971,0.004
5971,0.004
5971,0.004
6004,0.013
6004,0.013
6004,0.013
6062,0.008
6098,0.006
6112,0.003
6176,0.005
6176,0.005
6213,0.002
6220,0.013
6220,0.013
6220,0.013
6220,0.013
6220,0.013
6442,0.006
6468,0.004
6531,0.004
6618,0.003
6657,0.01
6657,0.01
6749,0.003
6784,0.011
6963,0.006
6982,0.003
7167,0.006
7181,0.005
7214,0.002
7263,0.003
7279,0.005
7359,0.005
7408,0.005
7433,0.002
7485,0.001
7567,0.007
7763,0.02
7763,0.02
7763,0.02
7763,0.02
7763,0.02
7781,0.003
7790,0.005
7898,0.001
7932,0.004
8016,0.009
8044,0.002
8117,0.005
8117,0.005
8270,0.004
8270,0.004
8270,0.004
8270,0.004
8272,0.003
8273,0.007
8273,0.007
8348,0.005
8361,0.009
8419,0.003
8515,0.015
8515,0.015
8602,0.006
8668,0.004
8698,0.003
8719,0.012
8719,0.012
8719,0.012
8764,0.005
8773,0.004
8868,0.005
8887,0.005
8887,0.005
8887,0.005
8930,0.005
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9020,0.061
9278,0.005
9278,0.005
9278,0.005
9278,0.005
9278,0.005
9278,0.005
9278,0.005
9372,0.003
9384,0.001
9553,0.009
9553,0.009
9786,0.003
10051,0.009
10329,0.007
10329,0.007
10329,0.007
10329,0.007
10463,0.01
10475,0.022
10475,0.022
10556,0.002
10632,0.006
10686,0.002
10745,0.01
10745,0.01
10785,0.004
10816,0.008
10818,0.003
10827,0.006
10921,0.005
11014,0.002
11037,0.003
11059,0.004
11076,0.004
11196,0.007
11234,0.003
11587,0.011
11587,0.011
11608,0.019
11608,0.019
11608,0.019
11747,0.009
11747,0.009
11856,0.002
11955,0.007
11955,0.007
11976,0.003
11996,0.004
12013,0.003
12047,0.041
12047,0.041
12047,0.041
12047,0.041
12047,0.041
12076,0.009
12147,0.007
12186,0.006
12188,0.002
12188,0.002
12209,0.004
